Economy_Label,SeafarerType_Label,Percentage_of_total_world_Value,Percentage_of_total_world_Footnote,Percentage_of_total_world_MissingValue,Absolute_value_Value,Absolute_value_Footnote,Absolute_value_MissingValue
"Belarus","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Belarus","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Belarus","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Belgium","Officers",0.396,,,3394,,
"Belgium","Ratings",0.153,,,1586,,
"Belgium","Total",0.263,,,4980,,
"Belize","Officers",0.516,,,4427,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Belize","Ratings",0.642,,,6645,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Belize","Total",0.585,,,11072,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Benin","Officers",0.001,,,6,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Benin","Ratings",0.001,,,10,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Benin","Total",0.001,,,16,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Bolivia (Plurinational State of)","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Bolivia (Plurinational State of)","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Bolivia (Plurinational State of)","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Brazil","Officers",1.398,,,11987,,
"Brazil","Ratings",1.415,,,14644,,
"Brazil","Total",1.407,,,26631,,
"Brunei Darussalam","Officers",0.055,,,471,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Brunei Darussalam","Ratings",0.085,,,876,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Brunei Darussalam","Total",0.071,,,1347,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Bulgaria","Officers",1.652,,,14168,,
"Bulgaria","Ratings",0.83,,,8594,,
"Bulgaria","Total",1.203,,,22762,,
"Cabo Verde","Officers",0.033,,,284,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cabo Verde","Ratings",0.041,,,425,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cabo Verde","Total",0.037,,,709,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cambodia","Officers",0.939,,,8053,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cambodia","Ratings",1.16,,,12004,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cambodia","Total",1.06,,,20057,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cameroon","Officers",0.103,,,883,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cameroon","Ratings",0.127,,,1310,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cameroon","Total",0.116,,,2193,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Canada","Officers",0.486,,,4168,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Canada","Ratings",0.723,,,7484,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Canada","Total",0.616,,,11652,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Chile","Officers",0.457,,,3922,,
"Chile","Ratings",0.299,,,3095,,
"Chile","Total",0.371,,,7017,,
"China","Officers",8.089,,,69364,,
"China","Ratings",6.272,,,64930,,
"China","Total",7.095,,,134294,,
"China, Hong Kong SAR","Officers",0.088,,,757,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"China, Hong Kong SAR","Ratings",0.006,,,67,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"China, Hong Kong SAR","Total",0.044,,,824,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"China, Taiwan Province of","Officers",0.367,,,3147,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"China, Taiwan Province of","Ratings",0.495,,,5121,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"China, Taiwan Province of","Total",0.437,,,8268,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Colombia","Officers",0.135,,,1161,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Colombia","Ratings",0.184,,,1900,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Colombia","Total",0.162,,,3061,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Comoros","Officers",0.196,,,1678,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Comoros","Ratings",0.243,,,2511,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Comoros","Total",0.221,,,4189,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo","Officers",0.001,,,12,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo","Ratings",0.002,,,20,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo","Total",0.002,,,32,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo, Dem. Rep. of the","Officers",0.006,,,52,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo, Dem. Rep. of the","Ratings",0.007,,,70,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Congo, Dem. Rep. of the","Total",0.006,,,122,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cook Islands","Officers",0.084,,,718,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cook Islands","Ratings",0.111,,,1144,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cook Islands","Total",0.098,,,1862,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Costa Rica","Officers",0.007,,,64,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Costa Rica","Ratings",0.01,,,102,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Costa Rica","Total",0.009,,,166,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cote d'Ivoire","Officers",0.005,,,40,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cote d'Ivoire","Ratings",0.006,,,58,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Cote d'Ivoire","Total",0.005,,,98,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Croatia","Officers",1.667,,,14291,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Croatia","Ratings",0.599,,,6204,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Croatia","Total",1.083,,,20495,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Cuba","Officers",0.264,,,2263,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cuba","Ratings",0.299,,,3093,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cuba","Total",0.283,,,5356,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Cyprus","Officers",0.336,,,2883,,
"Cyprus","Ratings",0.004,,,43,,
"Cyprus","Total",0.155,,,2926,,
"Czechia","Officers",0.004,,,38,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Czechia","Ratings",0,,,0,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Czechia","Total",0.002,,,38,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Denmark","Officers",0.856,,,7341,,
"Denmark","Ratings",1.818,,,18818,,
"Denmark","Total",1.382,,,26159,,
"Djibouti","Officers",0.026,,,226,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Djibouti","Ratings",0.035,,,360,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Djibouti","Total",0.031,,,586,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominica","Officers",0.053,,,456,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominica","Ratings",0.069,,,712,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominica","Total",0.062,,,1168,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominican Republic","Officers",0.009,,,76,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominican Republic","Ratings",0.011,,,116,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Dominican Republic","Total",0.01,,,192,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ecuador","Officers",0.329,,,2820,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ecuador","Ratings",0.591,,,6122,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ecuador","Total",0.472,,,8942,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Egypt","Officers",0.297,,,2549,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Egypt","Ratings",0.432,,,4472,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Egypt","Total",0.371,,,7021,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"El Salvador","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"El Salvador","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"El Salvador","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Equatorial Guinea","Officers",0.029,,,250,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Equatorial Guinea","Ratings",0.039,,,400,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Equatorial Guinea","Total",0.034,,,650,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Eritrea","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Eritrea","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Eritrea","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Estonia","Officers",0.298,,,2553,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Estonia","Ratings",0.188,,,1945,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Estonia","Total",0.238,,,4498,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Ethiopia","Officers",0.014,,,116,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ethiopia","Ratings",0.015,,,159,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ethiopia","Total",0.015,,,275,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Fiji","Officers",0.051,,,436,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Fiji","Ratings",0.076,,,785,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Fiji","Total",0.065,,,1221,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Finland","Officers",0.564,,,4837,,
"Finland","Ratings",0.5,,,5174,,
"Finland","Total",0.529,,,10011,,
"France","Officers",1.574,,,13495,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"France","Ratings",0.234,,,2419,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"France","Total",0.841,,,15914,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"France, metropolitan","Officers",1.574,,,13495,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"France, metropolitan","Ratings",0.234,,,2419,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"France, metropolitan","Total",0.841,,,15914,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Monaco","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Monaco","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Monaco","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gabon","Officers",0.065,,,560,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gabon","Ratings",0.088,,,910,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gabon","Total",0.078,,,1470,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gambia","Officers",0.003,,,26,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gambia","Ratings",0.005,,,51,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Gambia","Total",0.004,,,77,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Georgia","Officers",0.516,,,4422,,
"Georgia","Ratings",0.362,,,3749,,
"Georgia","Total",0.432,,,8171,,
"Germany","Officers",0.815,,,6990,,
"Germany","Ratings",0.507,,,5244,,
"Germany","Total",0.646,,,12234,,
"Ghana","Officers",0.004,,,38,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ghana","Ratings",0.006,,,60,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ghana","Total",0.005,,,98,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Greece","Officers",3.157,,,27074,,
"Greece","Ratings",0.332,,,3433,,
"Greece","Total",1.612,,,30507,,
"Grenada","Officers",0.003,,,26,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Grenada","Ratings",0.005,,,51,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Grenada","Total",0.004,,,77,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guatemala","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guatemala","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guatemala","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea","Officers",0.004,,,37,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea","Ratings",0.005,,,52,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea","Total",0.005,,,89,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea-Bissau","Officers",0.01,,,83,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea-Bissau","Ratings",0.011,,,113,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guinea-Bissau","Total",0.01,,,196,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guyana","Officers",0.083,,,713,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guyana","Ratings",0.101,,,1047,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Guyana","Total",0.093,,,1760,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Haiti","Officers",0.005,,,42,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Haiti","Ratings",0.005,,,56,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Haiti","Total",0.005,,,98,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Honduras","Officers",0.039,,,337,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Honduras","Ratings",0.054,,,564,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Honduras","Total",0.048,,,901,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Hungary","Officers",0.005,,,40,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Hungary","Ratings",0,,,0,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Hungary","Total",0.002,,,40,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Iceland","Officers",0.026,,,227,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Iceland","Ratings",0.001,,,10,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Iceland","Total",0.013,,,237,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"India","Officers",6.839,,,58645,,
"India","Ratings",5.297,,,54829,,
"India","Total",5.995,,,113474,,
"Indonesia","Officers",5.975,,,51237,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Indonesia","Ratings",8.932,,,92465,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Indonesia","Total",7.592,,,143702,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Iran (Islamic Republic of)","Officers",0.89,,,7631,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Iran (Islamic Republic of)","Ratings",0.968,,,10023,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Iran (Islamic Republic of)","Total",0.933,,,17654,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Iraq","Officers",0.016,,,137,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Iraq","Ratings",0.022,,,230,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Iraq","Total",0.019,,,367,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Ireland","Officers",0.145,,,1242,,
"Ireland","Ratings",0,,,0,,
"Ireland","Total",0.066,,,1242,,
"Israel","Officers",0.023,,,200,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Israel","Ratings",0.033,,,346,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Israel","Total",0.029,,,546,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Italy","Officers",0.362,,,3104,,
"Italy","Ratings",0.048,,,497,,
"Italy","Total",0.19,,,3601,,
"Jamaica","Officers",0.035,,,304,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Jamaica","Ratings",0.05,,,513,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Jamaica","Total",0.043,,,817,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Japan","Officers",2.23,,,19119,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Japan","Ratings",0.612,,,6339,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Japan","Total",1.345,,,25458,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Jordan","Officers",0.034,,,293,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Jordan","Ratings",0.052,,,538,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Jordan","Total",0.044,,,831,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kazakhstan","Officers",0.061,,,524,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kazakhstan","Ratings",0.093,,,958,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kazakhstan","Total",0.078,,,1482,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kenya","Officers",0.002,,,19,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Kenya","Ratings",0.016,,,166,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Kenya","Total",0.01,,,185,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Kiribati","Officers",0.022,,,190,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kiribati","Ratings",0.027,,,284,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kiribati","Total",0.025,,,474,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Dem. People's Rep. of","Officers",0.193,,,1651,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Dem. People's Rep. of","Ratings",0.217,,,2251,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Dem. People's Rep. of","Total",0.206,,,3902,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Republic of","Officers",1.259,,,10793,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Republic of","Ratings",1.654,,,17126,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Korea, Republic of","Total",1.475,,,27919,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Kuwait","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Kuwait","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Kuwait","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Latvia","Officers",0.644,,,5519,,
"Latvia","Ratings",0.248,,,2569,,
"Latvia","Total",0.427,,,8088,,
"Lebanon","Officers",0.028,,,240,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Lebanon","Ratings",0.032,,,336,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Lebanon","Total",0.03,,,576,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Liberia","Officers",0.007,,,58,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Liberia","Ratings",0.058,,,604,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Liberia","Total",0.035,,,662,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Libya","Officers",0.041,,,355,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Libya","Ratings",0.052,,,541,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Libya","Total",0.047,,,896,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Lithuania","Officers",0.242,,,2079,,
"Lithuania","Ratings",0.099,,,1026,,
"Lithuania","Total",0.164,,,3105,,
"Luxembourg","Officers",0.126,,,1078,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Luxembourg","Ratings",0.185,,,1913,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Luxembourg","Total",0.158,,,2991,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Madagascar","Officers",0.023,,,194,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Madagascar","Ratings",0.027,,,282,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Madagascar","Total",0.025,,,476,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Malawi","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Malawi","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Malawi","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Malaysia","Officers",0.736,,,6313,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Malaysia","Ratings",2.771,,,28687,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Malaysia","Total",1.849,,,35000,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Maldives","Officers",0.046,,,391,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Maldives","Ratings",0.059,,,614,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Maldives","Total",0.053,,,1005,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Malta","Officers",0.017,,,148,,
"Malta","Ratings",0.046,,,480,,
"Malta","Total",0.033,,,628,,
"Marshall Islands","Officers",0,,,1,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Marshall Islands","Ratings",0.001,,,7,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Marshall Islands","Total",0,,,8,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mauritania","Officers",0.004,,,37,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mauritania","Ratings",0.005,,,52,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mauritania","Total",0.005,,,89,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mauritius","Officers",0.011,,,98,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mauritius","Ratings",0.064,,,665,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mauritius","Total",0.04,,,763,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mexico","Officers",0.531,,,4552,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mexico","Ratings",0.137,,,1419,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mexico","Total",0.315,,,5971,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Micronesia (Federated States of)","Officers",0.011,,,92,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Micronesia (Federated States of)","Ratings",0.017,,,174,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Micronesia (Federated States of)","Total",0.014,,,266,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Officers",0.122,,,1042,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Ratings",0.143,,,1484,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Moldova, Republic of","Total",0.133,,,2526,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Officers",0.19,,,1628,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Ratings",0.234,,,2427,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mongolia","Total",0.214,,,4055,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
