crew_change_id,plan_created_date,vessel_code,seafarer_id,rank,movement_type,origin_airport,connection_airport,destination_airport,number_of_connections,shortest_connection_minutes,scheduled_departure,scheduled_arrival,estimated_travel_cost_eur,joining_port,vessel_eta,reporting_deadline,port_transfer_minutes,port_agent_confirmed,vessel_eta_confidence,passport_country_code,passport_valid,visa_status,medical_valid,documents_verified,ticket_status,airport_delay_risk,weather_risk,route_complexity,arrival_buffer_minutes,risk_score,risk_level,risk_reasons,ai_risk_briefing,human_review_status,actual_outcome,actual_delay_minutes,crew_change_completed,additional_cost_eur,outcome_reason
CC-0011,2026-05-01,VSL-016,SEA-0020,Second Officer,Joining,MNL,DOH,HAM,1,87,2026-05-18T22:45:00Z,2026-05-19T17:00:00Z,1647,DEHAM,2026-05-20T03:05:00Z,2026-05-20T02:05:00Z,45,True,High,PH,True,Verified,True,True,Ticketed,Medium,High,High,500,33,Medium,Short connection: 87 minutes; Airport historical delay indicator: Medium; Weather indicator: High,,Not reviewed,Delayed but completed,176,True,180,Flight delay
CC-0012,2026-03-02,VSL-008,SEA-0075,Bosun,Joining,DAC,IST,HAM,1,125,2026-03-12T02:00:00Z,2026-03-12T22:45:00Z,1461,DEHAM,2026-03-13T12:34:00Z,2026-03-13T09:34:00Z,45,True,Medium,BD,True,Manual specialist check,True,False,Ticketed,Medium,Low,Medium,604,33,Medium,Visa/document status: Manual specialist check; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0013,2026-07-28,VSL-003,SEA-0069,Second Officer,Joining,CGK,CDG,ATH,1,125,2026-08-29T12:30:00Z,2026-08-30T03:00:00Z,1574,GRPIR,2026-08-30T14:34:00Z,2026-08-30T09:34:00Z,60,True,High,ID,True,Verified,True,True,Ticketed,Medium,Low,Medium,334,23,Low,Arrival buffer between 4 and 8 hours: 334 minutes; Airport historical delay indicator: Medium,,Not reviewed,Delayed but completed,34,True,180,Flight delay
CC-0014,2026-02-17,VSL-005,SEA-0035,Chief Engineer,Joining,MNL,DXB,OSL,1,117,2026-03-31T15:45:00Z,2026-04-01T11:15:00Z,822,NOOSL,2026-04-02T01:01:00Z,2026-04-02T00:01:00Z,50,False,High,PH,True,Verified,True,True,Ticketed,Low,Low,Medium,716,10,Low,Port agent transfer not confirmed,,Not reviewed,On time,0,True,0,No disruption
CC-0015,2026-05-10,VSL-004,SEA-0010,Cook,Joining,DEL,DXB,OSL,1,174,2026-06-03T20:30:00Z,2026-06-04T07:30:00Z,1432,NOOSL,2026-06-05T03:39:00Z,2026-06-04T20:39:00Z,50,True,Medium,IN,True,Verified,True,True,Ticketed,Low,Low,Medium,739,0,Low,No material risk factor identified under the prototype rules,,Not reviewed,Rebooked,939,True,702,Flight delay
CC-0016,2026-04-11,VSL-014,SEA-0080,Able Seafarer,Joining,DAC,,AMS,0,,2026-05-11T16:15:00Z,2026-05-12T02:30:00Z,912,NLRTM,2026-05-12T10:57:00Z,2026-05-12T05:57:00Z,75,False,Low,BD,True,Pending verification,True,False,Ticketed,High,Medium,Low,132,75,High,Arrival buffer below 4 hours: 132 minutes; Visa/document status: Pending verification; Airport historical delay indicator: High; Weather indicator: Medium; Port agent transfer not confirmed,,Not reviewed,Failed crew change,1742,False,1321,Severe weather
CC-0017,2026-02-11,VSL-015,SEA-0045,Second Engineer,Joining,DEL,DOH,BRU,1,150,2026-03-05T19:15:00Z,2026-03-06T17:45:00Z,1769,BEANR,2026-03-07T16:26:00Z,2026-03-07T09:26:00Z,50,True,Medium,IN,True,Verified,True,True,Reserved,Medium,Medium,Medium,891,13,Low,Airport historical delay indicator: Medium; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0018,2026-03-09,VSL-009,SEA-0023,Bosun,Joining,DEL,,BRU,0,,2026-04-07T12:45:00Z,2026-04-07T22:15:00Z,578,BEANR,2026-04-08T06:46:00Z,2026-04-08T01:46:00Z,50,False,Low,IN,True,Verified,True,True,Quoted,Medium,Low,Low,161,43,Medium,Arrival buffer below 4 hours: 161 minutes; Airport historical delay indicator: Medium; Port agent transfer not confirmed,,Not reviewed,On time,0,True,0,No disruption
CC-0019,2026-04-20,VSL-011,SEA-0085,Able Seafarer,Joining,MNL,DXB,HAM,1,125,2026-05-24T17:00:00Z,2026-05-25T10:15:00Z,1061,DEHAM,2026-05-25T17:50:00Z,2026-05-25T16:50:00Z,45,True,Medium,PH,True,Verified,True,True,Ticketed,Medium,Medium,Medium,350,28,Medium,Arrival buffer between 4 and 8 hours: 350 minutes; Airport historical delay indicator: Medium; Weather indicator: Medium,,Not reviewed,Delayed but completed,216,True,180,Flight delay
CC-0020,2026-04-17,VSL-007,SEA-0056,Able Seafarer,Joining,DAC,FRA,CPH,1,128,2026-05-18T03:30:00Z,2026-05-18T22:45:00Z,1211,DKCPH,2026-05-19T11:01:00Z,2026-05-19T04:01:00Z,30,True,Medium,BD,True,Verified,True,True,Reserved,Medium,Medium,Medium,286,28,Medium,Arrival buffer between 4 and 8 hours: 286 minutes; Airport historical delay indicator: Medium; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0021,2026-05-19,VSL-008,SEA-0061,Bosun,Joining,CMB,DOH,OSL,1,175,2026-05-31T21:15:00Z,2026-06-01T18:15:00Z,928,NOOSL,2026-06-02T07:25:00Z,2026-06-02T01:25:00Z,50,True,Medium,LK,True,Pending verification,True,False,Not requested,Low,Medium,Medium,380,40,Medium,Arrival buffer between 4 and 8 hours: 380 minutes; Visa/document status: Pending verification; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0022,2026-07-11,VSL-018,SEA-0032,Cook,Joining,CMB,CDG,LCA,1,94,2026-07-18T11:45:00Z,2026-07-19T06:30:00Z,1627,CYLMS,2026-07-19T15:59:00Z,2026-07-19T12:59:00Z,50,False,High,LK,True,Pending verification,True,False,Ticketed,Low,Medium,Medium,339,50,High,Arrival buffer between 4 and 8 hours: 339 minutes; Visa/document status: Pending verification; Weather indicator: Medium; Port agent transfer not confirmed,,Not reviewed,Rebooked,360,True,1073,Severe weather
CC-0023,2026-07-08,VSL-017,SEA-0063,Bosun,Joining,CMB,CDG,AMS,1,126,2026-07-25T15:45:00Z,2026-07-26T12:30:00Z,1443,NLRTM,2026-07-27T08:36:00Z,2026-07-27T00:36:00Z,75,True,High,LK,True,Verified,True,True,Ticketed,High,Low,Medium,651,15,Low,Airport historical delay indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0024,2026-04-16,VSL-014,SEA-0050,Cook,Joining,CGK,DXB,BRE,1,130,2026-05-02T01:00:00Z,2026-05-02T14:15:00Z,1106,DEBRV,2026-05-03T03:56:00Z,2026-05-02T20:56:00Z,75,True,High,ID,True,Verified,True,True,Reserved,Low,Low,Medium,326,15,Low,Arrival buffer between 4 and 8 hours: 326 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0025,2026-04-03,VSL-005,SEA-0080,Electrician,Joining,DAC,IST,HAM,1,135,2026-04-27T23:45:00Z,2026-04-28T17:00:00Z,1148,DEHAM,2026-04-29T07:34:00Z,2026-04-29T03:34:00Z,45,True,Low,BD,True,Verified,True,True,Ticketed,Medium,Low,Medium,589,8,Low,Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0026,2026-02-28,VSL-016,SEA-0003,Able Seafarer,Joining,DAC,IST,DXB,1,154,2026-03-27T08:45:00Z,2026-03-27T21:45:00Z,1471,AEDXB,2026-03-28T11:26:00Z,2026-03-28T04:26:00Z,45,True,High,BD,True,Verified,True,True,Ticketed,Medium,Low,Medium,356,23,Low,Arrival buffer between 4 and 8 hours: 356 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0027,2026-03-12,VSL-004,SEA-0021,Cook,Joining,DEL,IST,OSL,1,52,2026-04-18T00:15:00Z,2026-04-18T11:30:00Z,1623,NOOSL,2026-04-18T20:54:00Z,2026-04-18T17:54:00Z,50,True,High,IN,True,Verified,True,True,Reserved,Low,Low,High,334,40,Medium,Tight connection: 52 minutes; Arrival buffer between 4 and 8 hours: 334 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0028,2026-06-02,VSL-003,SEA-0065,Bosun,Joining,BOM,FRA,HAM,1,146,2026-07-17T20:15:00Z,2026-07-18T08:30:00Z,1414,DEHAM,2026-07-18T17:29:00Z,2026-07-18T12:29:00Z,45,True,High,IN,True,Pending verification,True,False,Ticketed,Medium,Medium,Medium,194,58,High,Arrival buffer below 4 hours: 194 minutes; Visa/document status: Pending verification; Airport historical delay indicator: Medium; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0029,2026-03-31,VSL-009,SEA-0042,Able Seafarer,Joining,CMB,,ATH,0,,2026-05-10T07:45:00Z,2026-05-10T20:00:00Z,1045,GRPIR,2026-05-11T08:55:00Z,2026-05-11T05:55:00Z,60,True,Medium,LK,True,Manual specialist check,True,False,Ticketed,Medium,Low,Low,535,33,Medium,Visa/document status: Manual specialist check; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0030,2026-06-01,VSL-017,SEA-0025,Chief Officer,Joining,BOM,DOH,BRE,1,163,2026-06-19T15:45:00Z,2026-06-20T07:45:00Z,1401,DEBRV,2026-06-21T00:56:00Z,2026-06-20T18:56:00Z,75,True,Medium,IN,True,Verified,True,True,Ticketed,Low,Low,Medium,596,0,Low,No material risk factor identified under the prototype rules,,Not reviewed,On time,0,True,0,No disruption
CC-0031,2026-05-05,VSL-015,SEA-0035,Second Engineer,Joining,DAC,FRA,LCA,1,170,2026-05-27T00:00:00Z,2026-05-27T12:30:00Z,1366,CYLMS,2026-05-28T01:36:00Z,2026-05-27T18:36:00Z,50,True,High,BD,True,Verified,True,True,Reserved,Low,Low,Medium,316,15,Low,Arrival buffer between 4 and 8 hours: 316 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0032,2026-05-20,VSL-010,SEA-0030,Second Engineer,Joining,BOM,,BRU,0,,2026-06-13T01:15:00Z,2026-06-13T09:30:00Z,652,BEANR,2026-06-14T08:26:00Z,2026-06-14T00:26:00Z,50,True,High,IN,True,Verified,True,True,Ticketed,Medium,High,Low,846,18,Low,Airport historical delay indicator: Medium; Weather indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0033,2026-06-01,VSL-002,SEA-0020,Second Officer,Joining,DEL,IST,SIN,1,119,2026-07-14T10:15:00Z,2026-07-15T08:00:00Z,1322,SGSIN,2026-07-15T12:50:00Z,2026-07-15T11:50:00Z,35,True,High,IN,True,Verified,True,True,Ticketed,Low,Low,Medium,195,25,Medium,Arrival buffer below 4 hours: 195 minutes,,Not reviewed,Failed crew change,2676,False,1367,Vessel ETA change
CC-0034,2026-05-31,VSL-007,SEA-0081,Second Officer,Joining,MNL,IST,CPH,1,151,2026-06-26T17:15:00Z,2026-06-27T13:00:00Z,1324,DKCPH,2026-06-28T06:41:00Z,2026-06-27T22:41:00Z,30,True,Medium,PH,True,Pending verification,True,False,Ticketed,Medium,High,Medium,551,38,Medium,Visa/document status: Pending verification; Airport historical delay indicator: Medium; Weather indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0035,2026-02-18,VSL-009,SEA-0081,Bosun,Joining,DEL,,AMS,0,,2026-03-15T13:15:00Z,2026-03-15T21:00:00Z,622,NLRTM,2026-03-16T15:26:00Z,2026-03-16T07:26:00Z,75,True,Medium,IN,True,Verified,True,True,Ticketed,High,Low,Low,551,15,Low,Airport historical delay indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0036,2026-03-27,VSL-013,SEA-0035,Electrician,Joining,CMB,,BRU,0,,2026-04-13T15:15:00Z,2026-04-14T00:30:00Z,1255,BEANR,2026-04-14T05:03:00Z,2026-04-14T04:03:00Z,50,True,High,LK,True,Pending verification,True,False,Reserved,Medium,Low,Low,163,53,High,Arrival buffer below 4 hours: 163 minutes; Visa/document status: Pending verification; Airport historical delay indicator: Medium,,Not reviewed,Failed crew change,1229,False,2819,Flight delay
CC-0037,2026-05-02,VSL-006,SEA-0061,Electrician,Joining,DAC,,BRE,0,,2026-05-23T21:30:00Z,2026-05-24T09:00:00Z,591,DEBRV,2026-05-24T14:11:00Z,2026-05-24T12:11:00Z,75,True,High,BD,True,Manual specialist check,True,False,Ticketed,Low,Medium,Low,116,55,High,Arrival buffer below 4 hours: 116 minutes; Visa/document status: Manual specialist check; Weather indicator: Medium,,Not reviewed,Failed crew change,1823,False,3260,Flight delay
CC-0038,2026-03-05,VSL-003,SEA-0041,Chief Engineer,Joining,DEL,FRA,CPH,1,170,2026-03-18T17:45:00Z,2026-03-19T10:30:00Z,1341,DKCPH,2026-03-20T00:11:00Z,2026-03-19T18:11:00Z,30,True,High,IN,True,Pending verification,True,False,Not requested,Medium,Low,Medium,431,43,Medium,Arrival buffer between 4 and 8 hours: 431 minutes; Visa/document status: Pending verification; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0039,2026-04-15,VSL-008,SEA-0091,Second Officer,Joining,DAC,IST,ATH,1,163,2026-05-20T05:00:00Z,2026-05-20T19:30:00Z,788,GRPIR,2026-05-21T16:37:00Z,2026-05-21T08:37:00Z,60,True,High,BD,True,Pending verification,True,False,Ticketed,Medium,Low,Medium,727,28,Medium,Visa/document status: Pending verification; Airport historical delay indicator: Medium,,Not reviewed,Rebooked,895,True,746,Flight delay
CC-0040,2026-07-04,VSL-018,SEA-0019,Second Engineer,Joining,CMB,,SIN,0,,2026-08-11T09:00:00Z,2026-08-11T19:00:00Z,824,SGSIN,2026-08-12T11:08:00Z,2026-08-12T08:08:00Z,35,True,Low,LK,True,Manual specialist check,True,False,Reserved,Low,Low,Low,753,25,Medium,Visa/document status: Manual specialist check,,Not reviewed,On time,0,True,0,No disruption
CC-0041,2026-07-03,VSL-013,SEA-0059,Cook,Joining,CGK,IST,SIN,1,115,2026-07-29T00:45:00Z,2026-07-29T17:15:00Z,932,SGSIN,2026-07-30T00:22:00Z,2026-07-29T19:22:00Z,35,True,Medium,ID,True,Pending verification,True,False,Ticketed,Low,Low,Medium,92,45,Medium,Arrival buffer below 4 hours: 92 minutes; Visa/document status: Pending verification,,Not reviewed,Delayed but completed,305,True,180,Document issue
CC-0042,2026-03-24,VSL-015,SEA-0002,Able Seafarer,Joining,DAC,FRA,BRU,1,56,2026-05-01T18:45:00Z,2026-05-02T17:30:00Z,977,BEANR,2026-05-03T05:25:00Z,2026-05-03T02:25:00Z,50,False,High,BD,True,Manual specialist check,True,False,Quoted,Medium,Low,High,485,68,High,Tight connection: 56 minutes; Visa/document status: Manual specialist check; Airport historical delay indicator: Medium; Port agent transfer not confirmed,,Not reviewed,On time,0,True,0,No disruption
CC-0043,2026-06-03,VSL-010,SEA-0030,Able Seafarer,Joining,MNL,DXB,AMS,1,131,2026-06-30T00:45:00Z,2026-06-30T21:45:00Z,1317,NLRTM,2026-07-01T13:06:00Z,2026-07-01T06:06:00Z,75,True,High,PH,True,Verified,True,True,Reserved,High,Medium,Medium,426,35,Medium,Arrival buffer between 4 and 8 hours: 426 minutes; Airport historical delay indicator: High; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0044,2026-03-08,VSL-003,SEA-0079,Able Seafarer,Joining,CGK,IST,BRE,1,158,2026-04-02T07:30:00Z,2026-04-02T18:30:00Z,1440,DEBRV,2026-04-03T03:47:00Z,2026-04-03T02:47:00Z,75,True,Medium,ID,True,Verified,True,True,Reserved,Low,Low,Medium,422,15,Low,Arrival buffer between 4 and 8 hours: 422 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0045,2026-04-23,VSL-014,SEA-0089,Chief Engineer,Joining,CMB,DOH,BRU,1,104,2026-05-29T13:30:00Z,2026-05-30T08:00:00Z,1303,BEANR,2026-05-30T22:42:00Z,2026-05-30T21:42:00Z,50,True,Medium,LK,True,Manual specialist check,True,False,Reserved,Medium,Low,Medium,772,33,Medium,Visa/document status: Manual specialist check; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0046,2026-05-06,VSL-016,SEA-0037,Able Seafarer,Joining,CMB,IST,BRU,1,105,2026-05-14T01:30:00Z,2026-05-14T22:00:00Z,1377,BEANR,2026-05-15T17:16:00Z,2026-05-15T12:16:00Z,50,True,High,LK,True,Potential issue,True,False,Reserved,Medium,Low,Medium,806,43,Medium,Visa/document status: Potential issue; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0047,2026-06-14,VSL-014,SEA-0023,Second Officer,Joining,DEL,CDG,OSL,1,109,2026-07-10T14:15:00Z,2026-07-11T11:15:00Z,1732,NOOSL,2026-07-12T01:17:00Z,2026-07-12T00:17:00Z,50,True,Medium,IN,True,Pending verification,True,False,Reserved,Low,Low,Medium,732,20,Low,Visa/document status: Pending verification,,Not reviewed,On time,0,True,0,No disruption
CC-0048,2026-04-08,VSL-013,SEA-0002,Chief Engineer,Joining,DAC,DXB,OSL,1,87,2026-04-19T21:45:00Z,2026-04-20T13:15:00Z,1407,NOOSL,2026-04-21T01:32:00Z,2026-04-20T17:32:00Z,50,False,High,BD,True,Verified,True,True,Quoted,Low,High,High,207,60,High,Short connection: 87 minutes; Arrival buffer below 4 hours: 207 minutes; Weather indicator: High; Port agent transfer not confirmed,,Not reviewed,Rebooked,1046,True,1073,Flight delay
CC-0049,2026-06-26,VSL-004,SEA-0018,Master,Joining,CGK,DXB,OSL,1,142,2026-08-07T16:30:00Z,2026-08-08T04:45:00Z,1279,NOOSL,2026-08-08T16:07:00Z,2026-08-08T15:07:00Z,50,True,High,ID,True,Verified,True,True,Ticketed,Low,Low,Medium,572,0,Low,No material risk factor identified under the prototype rules,,Not reviewed,On time,0,True,0,No disruption
CC-0050,2026-07-07,VSL-009,SEA-0005,Able Seafarer,Joining,MNL,,LCA,0,,2026-08-20T06:15:00Z,2026-08-20T17:00:00Z,1051,CYLMS,2026-08-21T08:39:00Z,2026-08-21T01:39:00Z,50,True,High,PH,True,Verified,True,True,Ticketed,Low,Low,Low,469,15,Low,Arrival buffer between 4 and 8 hours: 469 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0051,2026-05-31,VSL-002,SEA-0043,Second Officer,Joining,DEL,IST,LCA,1,139,2026-06-14T17:30:00Z,2026-06-15T05:15:00Z,1609,CYLMS,2026-06-15T16:17:00Z,2026-06-15T12:17:00Z,50,True,High,IN,True,Manual specialist check,True,False,Ticketed,Low,Medium,Medium,372,45,Medium,Arrival buffer between 4 and 8 hours: 372 minutes; Visa/document status: Manual specialist check; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0052,2026-07-11,VSL-005,SEA-0002,Second Engineer,Joining,DEL,,DXB,0,,2026-07-27T13:15:00Z,2026-07-28T00:30:00Z,450,AEDXB,2026-07-28T12:43:00Z,2026-07-28T06:43:00Z,45,True,Medium,IN,True,Pending verification,True,False,Ticketed,Medium,Low,Low,328,43,Medium,Arrival buffer between 4 and 8 hours: 328 minutes; Visa/document status: Pending verification; Airport historical delay indicator: Medium,,Not reviewed,Failed crew change,1746,False,1614,Document issue
CC-0053,2026-04-10,VSL-002,SEA-0094,Able Seafarer,Joining,BOM,,DXB,0,,2026-04-21T12:00:00Z,2026-04-21T20:45:00Z,909,AEDXB,2026-04-22T09:58:00Z,2026-04-22T07:58:00Z,45,True,Medium,IN,True,Verified,True,True,Ticketed,Medium,Medium,Low,628,13,Low,Airport historical delay indicator: Medium; Weather indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0054,2026-05-22,VSL-011,SEA-0049,Cook,Joining,BOM,IST,SIN,1,60,2026-06-02T00:45:00Z,2026-06-02T17:45:00Z,1364,SGSIN,2026-06-03T12:12:00Z,2026-06-03T04:12:00Z,35,True,High,IN,True,Pending verification,True,False,Ticketed,Low,Low,High,592,35,Medium,Short connection: 60 minutes; Visa/document status: Pending verification,,Not reviewed,On time,0,True,0,No disruption
CC-0055,2026-07-16,VSL-005,SEA-0088,Cook,Joining,DAC,IST,LCA,1,74,2026-08-13T14:15:00Z,2026-08-14T08:00:00Z,1310,CYLMS,2026-08-14T21:13:00Z,2026-08-14T14:13:00Z,50,True,High,BD,True,Pending verification,True,False,Reserved,Low,Low,High,323,50,High,Short connection: 74 minutes; Arrival buffer between 4 and 8 hours: 323 minutes; Visa/document status: Pending verification,,Not reviewed,On time,0,True,0,No disruption
CC-0056,2026-05-15,VSL-010,SEA-0046,Chief Officer,Joining,MNL,DXB,BRE,1,78,2026-06-17T00:00:00Z,2026-06-17T20:30:00Z,1414,DEBRV,2026-06-18T12:41:00Z,2026-06-18T10:41:00Z,75,True,High,PH,True,Verified,True,True,Ticketed,Low,Low,High,776,15,Low,Short connection: 78 minutes,,Not reviewed,On time,0,True,0,No disruption
CC-0057,2026-07-09,VSL-009,SEA-0004,Second Officer,Joining,CGK,IST,AMS,1,134,2026-08-12T03:30:00Z,2026-08-12T16:00:00Z,1593,NLRTM,2026-08-13T08:32:00Z,2026-08-13T04:32:00Z,75,True,Medium,ID,True,Pending verification,True,False,Not requested,High,High,Medium,677,45,Medium,Visa/document status: Pending verification; Airport historical delay indicator: High; Weather indicator: High,,Not reviewed,On time,0,True,0,No disruption
CC-0058,2026-06-06,VSL-003,SEA-0007,Second Officer,Joining,BOM,DOH,CPH,1,81,2026-06-18T23:45:00Z,2026-06-19T12:00:00Z,1187,DKCPH,2026-06-20T03:38:00Z,2026-06-20T02:38:00Z,30,True,Medium,IN,True,Verified,True,True,Ticketed,Medium,Low,High,848,23,Low,Short connection: 81 minutes; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0059,2026-05-06,VSL-017,SEA-0086,Second Engineer,Joining,CGK,,HAM,0,,2026-05-26T01:45:00Z,2026-05-26T12:30:00Z,1244,DEHAM,2026-05-27T02:49:00Z,2026-05-26T21:49:00Z,45,True,High,ID,True,Pending verification,True,False,Ticketed,Medium,Low,Low,514,28,Medium,Visa/document status: Pending verification; Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
CC-0060,2026-04-03,VSL-017,SEA-0072,Able Seafarer,Joining,MNL,,DXB,0,,2026-04-28T12:15:00Z,2026-04-29T01:30:00Z,703,AEDXB,2026-04-29T21:47:00Z,2026-04-29T16:47:00Z,45,True,Medium,PH,True,Verified,True,True,Ticketed,Medium,Low,Low,872,8,Low,Airport historical delay indicator: Medium,,Not reviewed,On time,0,True,0,No disruption
